"Sample_ID","Case_no","Accession","Host","Sample_type","Preferred_date","Date_source","Barangay","Municipality","Province","Region","Latitude","Longitude","Source","Author","Pubmed","Genome_coverage","redcap_repeat_instance","ngs_runid","duplicate_id","ngs_rundate","ngs_location","ngs_provider","ngs_submission","ngs_platform","primer_scheme","primer_scheme_version","nanopore_platform","ngs_flowcell","illumina_platform","ngs_prep","ngs_barcode","ngs_library","ngs_analysis_type","ngs_merged_from","total_reads","mapped_reads","mean_depth","stdev_depth","median_depth","minimum_reads","maximum_reads","genomecov_depthx1","genomecov_depthx5","genomecov_depthx20","genomecov_depthx100","negative_control_sample","genbank_accession","consensus_coverage","consensus_fasta","ngs_notes","sample_labid","sample_sequenceid","sample_batchid","apha_sub","apha_rv","sample_tissuetype","sample_buffer","country","hmpcr_n405","rtassay","rtqpcr","lateral_flow_test","fat","drit","diagnostic_result","test_centre","diag_notes"
"RADDL4B-24-070","M-78",NA,"Dog",NA,2024-04-20,NA,"Malibago","Buenavista","Marinduque","MIMIROPA",13.28798166,122.0068653,"speedier",NA,NA,0.9883,"1","rabv_4b_2025_run1","1","9-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode89",NA,"Single run",NA,"9958","9171","508.6176668","373.7003573","401","0","2401","11894","11893","11885","11618","No","NA",98.8266845457593,"RADDL4B-24-070__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-071","M-79",NA,"Dog",NA,2024-05-20,NA,"Murallon","Boac","Marinduque","MIMIROPA",13.44947749,121.8370936,"speedier",NA,NA,0.9722,"1","rabv_4b_2025_run1","1","9-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode90",NA,"Single run",NA,"11134","10309","392.0721589","413.2608323","242","0","2443","11893","11687","11674","9960","No","NA",97.2175662085149,"RADDL4B-24-071__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-077","M-85",NA,"Dog",NA,2024-11-20,NA,"Bicas-Bicas","Buenavista","Marinduque","MIMIROPA",13.24157594,122.0002222,"speedier",NA,NA,0.9887,"1","rabv_4b_2025_run1","1","9-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode91",NA,"Single run",NA,"6167","5613","263.3015421","213.196696","186","0","1190","11893","11893","11881","10017","No","NA",98.868588669125,"RADDL4B-24-077__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-082","M-89",NA,"Dog",NA,2024-04-18,NA,"Mahunig","Gasan","Marinduque","MIMIROPA",13.31497743,121.8549846,"speedier",NA,NA,0.9884,"1","rabv_4b_2025_run1","1","9-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode92",NA,"Single run",NA,"9140","8663","387.440999","372.7791895","295","0","2341","11898","11894","11886","11121","No","NA",98.8350653704324,"RADDL4B-24-082__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-102","M-100",NA,"Dog",NA,2024-04-28,NA,"Bagacay","Buenavista","Marinduque","MIMIROPA",13.24881654,121.9900226,"speedier",NA,NA,0.9886,"1","rabv_4b_2025_run1","1","9-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode93",NA,"Single run",NA,"30388","28152","1219.029668","930.8182803","973","0","4743","11894","11893","11892","11672","No","NA",98.8602078444519,"RADDL4B-24-102__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-23-085","M-13",NA,"Dog",NA,2023-08-20,NA,"Maligaya","Boac","Marinduque","MIMIROPA",13.47444205,121.840682,"speedier",NA,NA,0.9891,"1","rabv_4b_2025_run2","1","14-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode43",NA,"Single run",NA,"15862","14840","590.1979551","617.3238408","319","0","3681","11894","11889","11885","11555","No","NA",98.9104927924908,"RADDL4B-23-085__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-23-093","M-20",NA,"Goat",NA,2023-11-26,NA,"Lupac","Boac","Marinduque","MIMIROPA",13.45972903,121.8180698,"speedier",NA,NA,0.9888,"1","rabv_4b_2025_run2","1","14-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode44",NA,"Single run",NA,"14549","13441","559.9552464","590.4991973","306","0","3323","11894","11887","11885","11481","No","NA",98.8769694937982,"RADDL4B-23-093__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-23-095","M-22",NA,"Dog",NA,2023-11-28,NA,"Laon","Mogpog","Marinduque","MIMIROPA",13.4919948,121.8532421,"speedier",NA,NA,0.9888,"1","rabv_4b_2025_run2","1","14-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode45",NA,"Single run",NA,"16563","15388","637.8933121","628.0223312","333","0","3392","11894","11893","11886","11544","No","NA",98.8769694937982,"RADDL4B-23-095__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-23-097","M-23",NA,"Dog",NA,2023-11-27,NA,"Poctoy","Boac","Marinduque","MIMIROPA",13.43235691,121.8690073,"speedier",NA,NA,0.9889,"1","rabv_4b_2025_run2","1","14-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode46",NA,"Single run",NA,"7824","7392","313.3960778","366.4047476","210","0","1965","11895","11888","11881","8742","No","NA",98.8853503184713,"RADDL4B-23-097__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-23-098","M-24",NA,"Dog",NA,2023-11-27,NA,"Cawit","Boac","Marinduque","MIMIROPA",13.38170012,121.8415498,"speedier",NA,NA,0.9887,"1","rabv_4b_2025_run2","1","14-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode47",NA,"Single run",NA,"10766","10128","567.1654375","506.2681025","418","0","2932","11894","11893","11887","11531","No","NA",98.868588669125,"RADDL4B-23-098__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
