name,date
OR971367,2022.60274
OR971368,2022.60274
OR971369,2022.61918
OR971370,2022.61918
OR971371,2022.6274
OR971372,2022.63836
OR971373,2022.64932
OR971374,2022.64932
OR971375,2022.66027
OR971376,2022.67671
OR971377,2022.68493
OR971378,2022.70685
OR971379,2022.72603
OR971380,2022.73973
OR971381,2019.69041
OR971382,2019.74795
OR971383,2019.7863
OR971384,2019.80274
OR971385,2019.84658
OR971386,2021.82192
OR971387,2021.82466
OR971388,2021.83562
OR971389,2021.85205
OR971390,2022.25479
OR971391,2022.29315
OR971392,2022.30137
R1-21-148,2021.27123
OR971600,2019.69589
OR971601,2019.77534
OR971602,2019.78356
OR971603,2019.80274
OR971604,2019.84932
OR971605,2019.85205
OR971606,2019.85479
OR971607,2019.86027
OR971608,2019.89863
OR971609,2019.90685
OR971610,2019.92329
OR971611,2019.92329
OR971612,2019.92329
OR971613,2019.95616
OR971614,2019.95616
OR971615,2019.9863
OR971616,2021.67945
OR971617,2021.73699
OR971618,2021.6411
OR971619,2021.63288
OR971620,2021.49863
OR971621,2021.43562
OR971622,2021.43014
OR971623,2021.38356
OR971624,2021.37534
OR971625,2021.30137
R10-688,2021.49863
R10-711,2021.52603
R10-714,2021.52329
R10-824,2021.68767
R10-856,2021.73699
R10-907,2021.8137
R10-920,2021.81644
R10-989,2021.89863
R10-990,2021.89863
OR971626,2021.0137
OR971627,2021.43836
OR971628,2021.78356
OR971629,2021.93151
OR971630,2022.04658
OR971631,2022.09315
OR971632,2022.12329
OR971633,2022.12329
OR971634,2022.12329
OR971635,2022.18904
OR971636,2022.2274
OR971637,2022.24658
OR971638,2022.31233
OR971639,2022.33151
OR971640,2022.33973
R11-21-61,2021.60822
R11-21-63,2021.75616
R11-22-001,2022
R11-22-002,2022.01096
OR971641,2019.02192
OR971642,2019.43014
OR971643,2019.46301
OR971644,2019.47671
OR971645,2019.55616
OR971646,2019.58356
OR971647,2019.65205
OR971648,2019.67671
OR971649,2019.84932
OR971650,2021.01096
OR971651,2021.0274
OR971652,2021.0274
OR971653,2021.03562
OR971654,2021.04932
OR971665,2021.60274
OR971666,2021.60274
OR971655,2021.08767
OR971656,2021.08767
OR971657,2021.12603
OR971658,2021.12603
OR971659,2021.13151
OR971660,2021.14521
OR971661,2021.16712
OR971662,2021.18356
OR971663,2021.47671
OR971664,2021.49589
OR971668,2021.40822
OR971669,2021.49315
OR971670,2021.34521
OR971671,2021.64658
OR971672,2021.70411
OR971673,2021.43836
OR971674,2021.79452
OR971675,2021.8
OR971667,2021.75342
R2-081,2020.66393
OR971393,2019.63288
OR971394,2019
OR971395,2019.71781
OR971396,2019.75616
OR971397,2019.76438
OR971398,2019.76712
OR971399,2019.7726
OR971400,2021.68493
OR971401,2021.76712
OR971402,2021.6137
OR971403,2021.62466
OR971404,2021.35616
OR971405,2021.96712
OR971406,2021.9863
OR971407,2021.99452
R2-22-5302,2022.16986
R2-22-5814,2022.17808
R2-22-84711,2022.26027
R2-22-8924,2022
R3-0483,2022
OR971408,2019.58356
OR971409,2019.63288
OR971411,2019.69863
OR971412,2021.21096
OR971413,2021.25753
OR971414,2021.26301
OR971415,2021.27945
OR971416,2021.28767
OR971417,2021.28767
OR971418,2021.31507
OR971419,2021.33973
OR971420,2021.39178
OR971421,2021.66301
OR971422,2021.66301
OR971423,2021.66301
OR971424,2021.67123
OR971425,2021.68767
OR971426,2021.68767
OR971427,2021.69041
OR971428,2021.72877
OR971429,2021.75616
OR971430,2021.7589
OR971431,2021.76438
OR971432,2021.76712
OR971433,2021.78082
OR971434,2021.78082
OR971435,2021.81918
OR971436,2021.93699
OR971437,2021.9726
OR971438,2021.8137
OR971439,2022.00548
OR971440,2022.00822
OR971441,2022.04658
OR971442,2022.01644
OR971443,2022.02466
OR971444,2022.0274
OR971445,2022.03288
OR971446,2022.04658
R3-731,2021.93699
OR971453,2019.79178
OR971454,2019.81096
OR971447,2019.34247
OR971455,2019.59178
OR971456,2019.65205
OR971448,2019.58082
OR971449,2019.65205
OR971450,2019.68767
OR971451,2019.73151
OR971452,2019.75342
OR971457,2020.00546
OR971458,2020.17213
OR971459,2020.4071
OR971460,2021.93973
OR971461,2021.90959
OR971462,2021.56712
OR971463,2021.34795
OR971464,2021.85205
OR971465,2021.64932
OR971466,2021.64932
OR971467,2021.72603
OR971468,2021.86027
OR971469,2021.03014
OR971474,2022.06575
OR971475,2022.49863
OR971476,2022.12055
OR971477,2022.12329
OR971478,2022.12877
OR971479,2022.14247
OR971480,2022.14795
OR971470,2022.83288
OR971481,2022.75342
OR971482,2022.22466
OR971471,2022.05479
OR971472,2022.06301
OR971473,2022.06575
OR971483,2019.62192
OR971484,2021.66849
OR971485,2021.33425
OR971486,2021.75342
OR971487,2021.28219
OR971488,2021.30685
OR971489,2022.01096
OR971490,2022.03562
OR971491,2022.09315
OR971492,2022.66849
