seq_name	Preferred_date	Region_std
OR971643	19-Jun-19	R12
OR971642	7-Jun-19	R12
OR971641	9-Jan-19	R12
OR971640	5-May-22	R11
OR971639	2-May-22	R11
OR971638	25-Apr-22	R11
OR971637	1-Apr-22	R11
OR971636	25-Mar-22	R11
OR971635	11-Mar-22	R11
OR971634	15-Feb-22	R11
OR971633	15-Feb-22	R11
OR971632	15-Feb-22	R11
OR971631	4-Feb-22	R11
OR971630	18-Jan-22	R11
OR971629	7-Dec-21	R11
OR971628	14-Oct-21	R11
OR971627	10-Jun-21	R11
OR971626	6-Jan-21	R11
OR971625	21-Apr-21	R10
OR971624	18-May-21	R10
OR971623	21-May-21	R10
OR971622	7-Jun-21	R10
OR971621	9-Jun-21	R10
OR971620	2-Jul-21	R10
OR971619	20-Aug-21	R10
OR971618	23-Aug-21	R10
OR971617	27-Sep-21	R10
OR971616	6-Sep-21	R10
OR971615	27-Dec-19	R10
OR971614	16-Dec-19	R10
OR971613	16-Dec-19	R10
OR971612	4-Dec-19	R10
OR971611	4-Dec-19	R10
OR971610	4-Dec-19	R10
OR971609	28-Nov-19	R10
OR971608	25-Nov-19	R10
OR971607	11-Nov-19	R10
OR971606	9-Nov-19	R10
OR971605	8-Nov-19	R10
OR971604	7-Nov-19	R10
OR971603	21-Oct-19	R10
OR971602	14-Oct-19	R10
OR971601	11-Oct-19	R10
OR971600	12-Sep-19	R10
OR971599	12-Sep-21	R9
OR971598	10-Dec-21	R9
OR971597	10-Jul-21	R9
OR971596	27-Aug-21	R9
OR971595	23-Aug-21	R9
MN857171	6-May-19	R3
MN857170	27-May-19	R4
MN857169	31-May-19	R13
MN857168	28-May-19	R13
MN857167	26-Jun-19	R13
OR971594	20-Aug-21	R9
OR971593	5-Jan-21	R9
OR971592	9-Oct-19	R9
OR971591	26-Apr-21	R8
OR971590	22-Apr-21	R8
OR971589	15-Apr-21	R8
OR971588	8-Apr-21	R8
OR971587	30-Mar-21	R8
OR971586	23-Mar-21	R8
OR971585	26-Feb-21	R8
OR971584	26-Feb-21	R8
OR971577	28-Feb-22	R7
OR971576	21-Feb-22	R7
OR971575	15-Feb-22	R7
OR971574	14-Feb-22	R7
OR971573	2-Aug-22	R7
OR971572	26-Jan-22	R7
OR971571	1-Jul-22	R7
OR971570	22-Nov-21	R7
OR971569	22-Nov-21	R7
OR971568	11-Dec-21	R7
OR971567	11-Oct-21	R7
OR971566	11-Sep-21	R7
OR971565	11-Sep-21	R7
OR971564	11-Sep-21	R7
OR971563	26-Oct-21	R7
OR971562	21-Oct-21	R7
OR971561	18-Oct-21	R7
OR971560	13-Oct-21	R7
OR971559	13-Oct-21	R7
OR971558	12-Sep-21	R6
OR971557	12-Sep-21	R6
OR971556	12-Jul-21	R6
