"seq_name","Case_no","Accession","Host","Sample_type","Preferred_date","Date_source","Barangay","Municipality","Municipality_std","Province","Province_std","Region","Region_std","Latitude","Longitude","Source","Author","Pubmed","Genome_coverage","Host_scientific","Host_common","Host_type","Major_Island","seq_name.y"
"OR971411",NA,NA,NA,NA,"=""13-Sep-2019""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971409",NA,NA,NA,NA,"=""20-Aug-2019""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971408",NA,NA,NA,NA,"=""08-Feb-2019""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971407",NA,NA,NA,NA,"=""30-dec-2021""",NA,NA,NA,NA,NA,NA,NA,"Region II (Cagayan Valley)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971406",NA,NA,NA,NA,"=""27-dec-2021""",NA,NA,NA,NA,NA,NA,NA,"Region II (Cagayan Valley)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971405",NA,NA,NA,NA,"=""20-dec-2021""",NA,NA,NA,NA,NA,NA,NA,"Region II (Cagayan Valley)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971404",NA,NA,NA,NA,"=""11-may-2021""",NA,NA,NA,NA,NA,NA,NA,"Region II (Cagayan Valley)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971403",NA,NA,NA,NA,"=""17-aug-2021""",NA,NA,NA,NA,NA,NA,NA,"Region II (Cagayan Valley)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971402",NA,NA,NA,NA,"=""13-aug-2021""",NA,NA,NA,NA,NA,NA,NA,"Region II (Cagayan Valley)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971401",NA,NA,NA,NA,"=""08-oct-2021""",NA,NA,NA,NA,NA,NA,NA,"Region II (Cagayan Valley)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971400",NA,NA,NA,NA,"=""08-sep-2021""",NA,NA,NA,NA,NA,NA,NA,"Region II (Cagayan Valley)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971399",NA,NA,NA,NA,"=""10-oct-2019""",NA,NA,NA,NA,NA,NA,NA,"Region II (Cagayan Valley)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971398",NA,NA,NA,NA,"=""08-oct-2019""",NA,NA,NA,NA,NA,NA,NA,"Region II (Cagayan Valley)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971397",NA,NA,NA,NA,"=""07-oct-2019""",NA,NA,NA,NA,NA,NA,NA,"Region II (Cagayan Valley)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971396",NA,NA,NA,NA,"=""04-oct-2019""",NA,NA,NA,NA,NA,NA,NA,"Region II (Cagayan Valley)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971395",NA,NA,NA,NA,"=""20-sep-2019""",NA,NA,NA,NA,NA,NA,NA,"Region II (Cagayan Valley)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326784",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326783",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326782",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326781",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326780",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326779",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326778",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326777",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326776",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326775",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XII (Soccsksargen)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326774",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326773",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326772",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326771",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326770",NA,NA,NA,NA,"=""01-Jan-2019""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326769",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326768",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326767",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326766",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326765",NA,NA,NA,NA,"=""01-Jan-2019""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326764",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326763",NA,NA,NA,NA,"=""01-Jan-2019""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326762",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326761",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326760",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326759",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326758",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326757",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326756",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326755",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971544",NA,NA,NA,NA,"=""12-oct-2021""",NA,NA,NA,NA,NA,NA,NA,"Region VI (Western Visayas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971543",NA,NA,NA,NA,"=""07-oct-2021""",NA,NA,NA,NA,NA,NA,NA,"Region VI (Western Visayas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971542",NA,NA,NA,NA,"=""06-oct-2021""",NA,NA,NA,NA,NA,NA,NA,"Region VI (Western Visayas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971541",NA,NA,NA,NA,"=""06-oct-2021""",NA,NA,NA,NA,NA,NA,NA,"Region VI (Western Visayas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971540",NA,NA,NA,NA,"=""05-oct-2021""",NA,NA,NA,NA,NA,NA,NA,"Region VI (Western Visayas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971539",NA,NA,NA,NA,"=""10-oct-2019""",NA,NA,NA,NA,NA,NA,NA,"Region VI (Western Visayas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971538",NA,NA,NA,NA,"=""17-sep-2019""",NA,NA,NA,NA,NA,NA,NA,"Region VI (Western Visayas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971537",NA,NA,NA,NA,"=""29-aug-2019""",NA,NA,NA,NA,NA,NA,NA,"Region VI (Western Visayas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971536",NA,NA,NA,NA,"=""17-jun-2019""",NA,NA,NA,NA,NA,NA,NA,"Region VI (Western Visayas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971535",NA,NA,NA,NA,"=""11-jun-2019""",NA,NA,NA,NA,NA,NA,NA,"Region VI (Western Visayas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971534",NA,NA,NA,NA,"=""15-apr-2019""",NA,NA,NA,NA,NA,NA,NA,"Region VI (Western Visayas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971533",NA,NA,NA,NA,"=""10-May-2021""",NA,NA,NA,NA,NA,NA,NA,"Region V (Bicol Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971532",NA,NA,NA,NA,"=""06-May-2021""",NA,NA,NA,NA,NA,NA,NA,"Region V (Bicol Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971531",NA,NA,NA,NA,"=""05-May-2021""",NA,NA,NA,NA,NA,NA,NA,"Region V (Bicol Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971530",NA,NA,NA,NA,"=""03-May-2021""",NA,NA,NA,NA,NA,NA,NA,"Region V (Bicol Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971529",NA,NA,NA,NA,"=""03-May-2021""",NA,NA,NA,NA,NA,NA,NA,"Region V (Bicol Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971528",NA,NA,NA,NA,"=""26-Apr-2021""",NA,NA,NA,NA,NA,NA,NA,"Region V (Bicol Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971527",NA,NA,NA,NA,"=""27-Apr-2021""",NA,NA,NA,NA,NA,NA,NA,"Region V (Bicol Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971526",NA,NA,NA,NA,"=""26-Apr-2021""",NA,NA,NA,NA,NA,NA,NA,"Region V (Bicol Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971525",NA,NA,NA,NA,"=""19-Apr-2021""",NA,NA,NA,NA,NA,NA,NA,"Region V (Bicol Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971524",NA,NA,NA,NA,"=""19-Apr-2021""",NA,NA,NA,NA,NA,NA,NA,"Region V (Bicol Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971523",NA,NA,NA,NA,"=""12-Apr-2021""",NA,NA,NA,NA,NA,NA,NA,"Region V (Bicol Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971522",NA,NA,NA,NA,"=""02-Apr-2021""",NA,NA,NA,NA,NA,NA,NA,"Region V (Bicol Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971521",NA,NA,NA,NA,"=""22-Mar-2021""",NA,NA,NA,NA,NA,NA,NA,"Region V (Bicol Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971520",NA,NA,NA,NA,"=""22-Mar-2021""",NA,NA,NA,NA,NA,NA,NA,"Region V (Bicol Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971519",NA,NA,NA,NA,"=""22-Mar-2021""",NA,NA,NA,NA,NA,NA,NA,"Region V (Bicol Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971518",NA,NA,NA,NA,"=""22-Mar-2021""",NA,NA,NA,NA,NA,NA,NA,"Region V (Bicol Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971517",NA,NA,NA,NA,"=""05-Mar-2021""",NA,NA,NA,NA,NA,NA,NA,"Region V (Bicol Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971516",NA,NA,NA,NA,"=""05-Mar-2021""",NA,NA,NA,NA,NA,NA,NA,"Region V (Bicol Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971515",NA,NA,NA,NA,"=""01-Feb-2021""",NA,NA,NA,NA,NA,NA,NA,"Region V (Bicol Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971514",NA,NA,NA,NA,"=""01-Feb-2021""",NA,NA,NA,NA,NA,NA,NA,"Region V (Bicol Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971513",NA,NA,NA,NA,"=""01-Feb-2021""",NA,NA,NA,NA,NA,NA,NA,"Region V (Bicol Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971512",NA,NA,NA,NA,"=""01-Feb-2021""",NA,NA,NA,NA,NA,NA,NA,"Region V (Bicol Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971511",NA,NA,NA,NA,"=""20-Jan-2021""",NA,NA,NA,NA,NA,NA,NA,"Region V (Bicol Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
