#node	date	numeric date
OR971630	2022-01-18	2022.047945
OR971636	2022-03-25	2022.228767
NODE_0000429	2013-04-17	2013.292650
OQ326744	2018-01-01	2018.001370
NODE_0000430	2015-01-25	2015.066550
OQ326760	2018-01-01	2018.001370
NODE_0000431	2015-07-14	2015.532791
OQ326751	2018-01-01	2018.001370
NODE_0000164	2016-10-13	2016.781523
NODE_0000439	2017-01-10	2017.027245
OQ326737	2018-01-01	2018.001370
OQ326783	2018-01-01	2018.001370
NODE_0000189	2017-01-06	2017.015837
OQ326777	2018-01-01	2018.001370
NODE_0000175	2017-10-03	2017.755098
OQ326761	2018-01-01	2018.001370
NODE_0000182	2017-12-22	2017.974346
NODE_0000433	2019-01-05	2019.013491
OR971640	2022-05-05	2022.341096
NODE_0000434	2020-12-17	2020.961069
OR971631	2022-02-04	2022.094521
R11-22-002	2022-01-05	2022.012329
NODE_0000186	2017-12-27	2017.987505
OQ326755	2018-01-01	2018.001370
NODE_0000188	2018-01-01	2018.001370
OQ326747	2018-01-01	2018.001370
OQ326750	2018-01-01	2018.001370
NODE_0000440	1988-12-23	1988.977767
NODE_0000441	1991-07-11	1991.523605
NODE_0000442	1994-07-26	1994.564498
R9-089	2021-10-07	2021.765753
NODE_0000443	2002-05-13	2002.363418
NODE_0000444	2019-09-10	2019.691669
OR971599	2021-09-12	2021.697260
R9-105	2021-12-09	2021.938356
NODE_0000445	2014-09-01	2014.667364
NODE_0000446	2018-05-05	2018.342217
OR971610	2019-12-04	2019.924658
OR971608	2019-11-25	2019.900000
NODE_0000447	2015-12-23	2015.977281
OR971607	2019-11-11	2019.861644
NODE_0000448	2018-03-20	2018.214978
OR971613	2019-12-16	2019.957534
NODE_0000449	2018-08-30	2018.661050
OR971600	2019-09-12	2019.697260
OR971622	2021-06-07	2021.431507
OR971602	2019-10-14	2019.784932
NODE_0000451	1992-04-17	1992.293146
NODE_0000452	2020-03-30	2020.243413
OR971588	2021-04-07	2021.264384
OR971587	2021-03-30	2021.242466
NODE_0000453	2011-02-27	2011.158637
NODE_0000454	2020-10-01	2020.748714
OR971674	2021-10-18	2021.795890
OR971672	2021-09-15	2021.705479
NODE_0000455	2017-04-18	2017.293767
NODE_0000456	2017-08-04	2017.591754
OR971673	2021-06-10	2021.439726
OR971656	2021-02-02	2021.089041
NODE_0000457	2018-06-23	2018.474501
OR971624	2021-05-18	2021.376712
NODE_0000458	2019-04-10	2019.273147
R10-989	2021-11-25	2021.900000
NODE_0000211	2019-12-20	2019.967734
OR971620	2021-07-02	2021.500000
OR971623	2021-05-21	2021.384932
NODE_0000460	1995-06-26	1995.483374
NODE_0000461	2006-09-23	2006.728084
OR971644	2019-06-24	2019.478082
NODE_0000462	2007-01-11	2007.027765
OR971659	2021-02-18	2021.132877
NODE_0000463	2009-09-03	2009.673424
OR971663	2021-06-24	2021.478082
NODE_0000465	2009-12-02	2009.919001
NODE_0000466	2018-01-11	2018.028709
OR971615	2019-12-27	2019.987671
R10-990	2021-11-25	2021.900000
NODE_0000467	2011-05-09	2011.351215
NODE_0000468	2013-08-22	2013.638548
OR971649	2019-11-07	2019.850685
NODE_0000469	2019-05-31	2019.411318
OR971606	2019-11-09	2019.856164
OR971601	2019-10-11	2019.776712
NODE_0000470	2011-07-23	2011.556587
NODE_0000471	2014-07-20	2014.550597
OR971609	2019-11-28	2019.908219
OR971604	2019-11-07	2019.850685
NODE_0000472	2016-11-13	2016.867543
OQ326775	2018-01-01	2018.001370
NODE_0000473	2017-12-01	2017.917215
OR971661	2021-03-03	2021.168493
NODE_0000474	2018-03-07	2018.179239
OR971662	2021-03-09	2021.184932
NODE_0000475	2020-06-29	2020.492803
OR971653	2021-01-14	2021.036986
R11-21-63	2021-10-04	2021.757534
NODE_0000476	2015-04-18	2015.293739
OR971614	2019-12-16	2019.957534
NODE_0000477	2017-01-23	2017.061018
R10-856	2021-09-27	2021.738356
OR971605	2019-11-08	2019.853425
NODE_0000479	2018-01-27	2018.072696
OR971603	2019-10-21	2019.804110
NODE_0000480	2019-12-13	2019.948412
OR971616	2021-09-06	2021.680822
OR971625	2021-04-21	2021.302740
OR971621	2021-06-09	2021.436986
NODE_0000484	2021-03-27	2021.233651
OR971617	2021-09-27	2021.738356
R10-920	2021-10-26	2021.817808
NODE_0000485	2020-11-03	2020.841132
R10-907	2021-10-25	2021.815068
R10-711	2021-07-12	2021.527397
R10-824	2021-09-09	2021.689041
R10-714	2021-07-11	2021.524658
NODE_0000488	2004-10-12	2004.779160
NODE_0000489	2015-07-12	2015.527066
NODE_0000490	2022-02-15	2022.124658
OR971635	2022-03-11	2022.190411
OR971634	2022-02-15	2022.124658
NODE_0000491	2016-11-04	2016.843797
OQ326738	2018-01-01	2018.001370
OQ326758	2018-01-01	2018.001370
NODE_0000492	2009-01-12	2009.031354
NODE_0000493	2019-09-11	2019.693958
R10-688	2021-07-02	2021.500000
NODE_0000494	2020-09-01	2020.668678
OR971619	2021-08-20	2021.634247
OR971618	2021-08-23	2021.642466
NODE_0000495	2013-05-12	2013.361400
NODE_0000496	2015-01-30	2015.080683
NODE_0000497	2015-06-10	2015.441044
