"","sample_id","redcap_repeat_instance","ngs_runid","duplicate_id","ngs_rundate","ngs_location","ngs_provider","ngs_submission","ngs_platform","primer_scheme","nanopore_platform","ngs_flowcell","illumina_platform","ngs_prep","ngs_barcode","ngs_library","ngs_analysis_type","ngs_merged_from","total_reads","mapped_reads","mean_depth","stdev_depth","median_depth","minimum_reads","maximum_reads","genomecov_depthx1","genomecov_depthx5","genomecov_depthx20","genomecov_depthx100","negative_control_sample","genbank_accession","consensus_coverage","consensus_fasta","ngs_notes","sample_labid","sample_sequenceid","sample_batchid","apha_sub","apha_rv","sample_tissuetype","sample_buffer","country","hmpcr_n405","rtassay","rtqpcr","lateral_flow_test","fat","drit","diagnostic_result","test_centre","diag_notes"
"65","H-25-18-2","1","rabv_4b_2025_r10_run4","1","24-Mar-2025","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAY28415",NA,"Amplicon","barcode67",NA,"Single run",NA,"955","866","30.9389876","40.5471831","12","0","248","10764","9244","4914","546","No","NA","3626","H-25-18-2__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"66","H17-001","1","RabV_4B_2025_R10_run3","1","24-Mar-2025","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAY28415",NA,"Amplicon","barcode36",NA,"Single run",NA,"1180","1061","39.76600738","55.42239619","13","0","271","11353","10502","4963","1464","No","NA","3554","H17-001__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"67","H22-01","1","run5_21","1","1/3/22","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAQ67517",NA,"Amplicon","barcode20",NA,"Single run",NA,"105322","105322","3460.889457","2939.418139","3087","0","11872","11361","10908","10702","10060","No","NA","10524","H22-01__run5_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"68","H24-007","1","rabv_4b_2024_R10_run1","1","6-Nov-2024","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAZ05583",NA,"Amplicon","barcode09",NA,"Single run",NA,"8813","8402","287.3079953","454.3651003","41","0","1951","11746","10661","7685","4789","No","NA","6837","H24-007__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"69","H24-010","1","rabv_4b_2024_R10_run1","1","6-Nov-2024","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAZ05583",NA,"Amplicon","barcode10",NA,"Single run",NA,"10208","9797","332.8023802","849.4812755","50","0","4884","11886","11480","8902","3814","No","NA","6946","H24-010__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"70","H24-028","1","rabv_4b_2024_R10_run1","1","6-Nov-2024","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAZ05583",NA,"Amplicon","barcode11",NA,"Single run",NA,"33714","29496","1100.77288","1538.046697","665","0","9626","11900","11834","11663","10725","No","NA","11407","H24-028__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"71","H24-068","1","rabv_4b_2024_R10_run1","1","6-Nov-2024","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAZ05583",NA,"Amplicon","barcode13",NA,"Single run",NA,"48460","44847","1549.051877","2033.996145","473","0","8679","11894","11885","11328","8967","No","NA","10446","H24-068__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"72","R1-21-148","1","run3_21","1","17/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAQ67614",NA,"Amplicon","barcode01",NA,"Single run",NA,"125187","125187","4475.726534","2243.720806","4318.5","0","11153","11894","11690","11683","11496","No","NA","11594","R1-21-148__run3_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"73","R2-081","1","run5_21","1","1/3/22","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAQ67517",NA,"Amplicon","barcode01",NA,"Single run",NA,"101178","101178","3470.992876","1985.053452","3355","0","9572","11692","11689","11683","11672","No","NA","11591","R2-081__run5_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"74","R2-22-5302","1","run10_23","1","2/3/23","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAU43074",NA,"Amplicon","barcode28",NA,"Single run",NA,"23485","23485","967.6469159","547.8621008","847","0","2515","11685","11677","11676","11657","No","NA","11583","R2-22-5302__run10_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
