"psgc_10","barangay_id","barangay_std","municipality_std","province_std"
"1380100159","80100159","barangay 159","City of Caloocan",NA
"1380100160","80100160","barangay 160","City of Caloocan",NA
"1380100161","80100161","barangay 161","City of Caloocan",NA
"1380100162","80100162","barangay 162","City of Caloocan",NA
"1380100163","80100163","barangay 163","City of Caloocan",NA
"1380100164","80100164","barangay 164","City of Caloocan",NA
"1380100165","80100165","barangay 165","City of Caloocan",NA
"1380100166","80100166","barangay 166","City of Caloocan",NA
"1380100167","80100167","barangay 167","City of Caloocan",NA
"1380100168","80100168","barangay 168","City of Caloocan",NA
"1380100169","80100169","barangay 169","City of Caloocan",NA
"1380100170","80100170","barangay 170","City of Caloocan",NA
"1380100171","80100171","barangay 171","City of Caloocan",NA
"1380100172","80100172","barangay 172","City of Caloocan",NA
"1380100173","80100173","barangay 173","City of Caloocan",NA
"1380100174","80100174","barangay 174","City of Caloocan",NA
"1380100175","80100175","barangay 175","City of Caloocan",NA
"1380100177","80100177","barangay 177","City of Caloocan",NA
"1380100178","80100178","barangay 178","City of Caloocan",NA
"1380100179","80100179","barangay 179","City of Caloocan",NA
"1380100180","80100180","barangay 180","City of Caloocan",NA
"1380100181","80100181","barangay 181","City of Caloocan",NA
"1380100182","80100182","barangay 182","City of Caloocan",NA
"1380100183","80100183","barangay 183","City of Caloocan",NA
"1380100184","80100184","barangay 184","City of Caloocan",NA
"1380100185","80100185","barangay 185","City of Caloocan",NA
"1380100186","80100186","barangay 186","City of Caloocan",NA
"1380100187","80100187","barangay 187","City of Caloocan",NA
"1380100188","80100188","barangay 188","City of Caloocan",NA
"1380100189","80100189","barangay 176 a","City of Caloocan",NA
"1380100190","80100190","barangay 176 b","City of Caloocan",NA
"1380100191","80100191","barangay 176 c","City of Caloocan",NA
"1380100192","80100192","barangay 176 d","City of Caloocan",NA
"1380100193","80100193","barangay 176 e","City of Caloocan",NA
"1380100194","80100194","barangay 176 f","City of Caloocan",NA
"1380200001","80200001","almanza uno","City of Las Piñas",NA
"1380200002","80200002","daniel fajardo","City of Las Piñas",NA
"1380200003","80200003","elias aldana","City of Las Piñas",NA
"1380200004","80200004","ilaya","City of Las Piñas",NA
"1380200005","80200005","manuyo uno","City of Las Piñas",NA
"1380200006","80200006","pamplona uno","City of Las Piñas",NA
"1380200007","80200007","pulang lupa uno","City of Las Piñas",NA
"1380200008","80200008","talon uno","City of Las Piñas",NA
"1380200009","80200009","zapote","City of Las Piñas",NA
"1380200010","80200010","almanza dos","City of Las Piñas",NA
"1380200011","80200011","b. f. international village","City of Las Piñas",NA
"1380200012","80200012","manuyo dos","City of Las Piñas",NA
"1380200013","80200013","pamplona dos","City of Las Piñas",NA
"1380200014","80200014","pamplona tres","City of Las Piñas",NA
"1380200015","80200015","pilar","City of Las Piñas",NA
"1380200016","80200016","pulang lupa dos","City of Las Piñas",NA
"1380200017","80200017","talon dos","City of Las Piñas",NA
"1380200018","80200018","talon tres","City of Las Piñas",NA
"1380200019","80200019","talon kuatro","City of Las Piñas",NA
"1380200020","80200020","talon singko","City of Las Piñas",NA
"1380300001","80300001","bangkal","City of Makati",NA
"1380300002","80300002","bel air","City of Makati",NA
"1380300005","80300005","carmona","City of Makati",NA
"1380300006","80300006","dasmariñas","City of Makati",NA
"1380300008","80300008","forbes park","City of Makati",NA
"1380300009","80300009","guadalupe nuevo","City of Makati",NA
"1380300010","80300010","guadalupe viejo","City of Makati",NA
"1380300011","80300011","kasilawan","City of Makati",NA
"1380300012","80300012","la paz","City of Makati",NA
"1380300013","80300013","magallanes","City of Makati",NA
"1380300014","80300014","olympia","City of Makati",NA
"1380300015","80300015","palanan","City of Makati",NA
"1380300017","80300017","pinagkaisahan","City of Makati",NA
"1380300018","80300018","pio del pilar","City of Makati",NA
"1380300020","80300020","poblacion","City of Makati",NA
"1380300023","80300023","san antonio","City of Makati",NA
"1380300024","80300024","san isidro","City of Makati",NA
"1380300025","80300025","san lorenzo","City of Makati",NA
"1380300026","80300026","santa cruz","City of Makati",NA
"1380300027","80300027","singkamas","City of Makati",NA
"1380300029","80300029","tejeros","City of Makati",NA
"1380300030","80300030","urdaneta","City of Makati",NA
"1380300031","80300031","valenzuela","City of Makati",NA
"1380400001","80400001","acacia","City of Malabon",NA
"1380400002","80400002","baritan","City of Malabon",NA
"1380400003","80400003","bayan bayanan","City of Malabon",NA
"1380400004","80400004","catmon","City of Malabon",NA
"1380400005","80400005","concepcion","City of Malabon",NA
"1380400006","80400006","dampalit","City of Malabon",NA
"1380400007","80400007","flores","City of Malabon",NA
"1380400008","80400008","hulong duhat","City of Malabon",NA
"1380400009","80400009","ibaba","City of Malabon",NA
"1380400010","80400010","longos","City of Malabon",NA
"1380400011","80400011","maysilo","City of Malabon",NA
"1380400012","80400012","muzon","City of Malabon",NA
"1380400013","80400013","niugan","City of Malabon",NA
"1380400014","80400014","panghulo","City of Malabon",NA
"1380400015","80400015","potrero","City of Malabon",NA
"1380400016","80400016","san agustin","City of Malabon",NA
"1380400017","80400017","santolan","City of Malabon",NA
"1380400018","80400018","tañong","City of Malabon",NA
"1380400019","80400019","tinajeros","City of Malabon",NA
"1380400020","80400020","tonsuya","City of Malabon",NA
"1380400021","80400021","tugatog","City of Malabon",NA
"1380500001","80500001","addition hills","City of Mandaluyong",NA
"1380500002","80500002","bagong silang","City of Mandaluyong",NA
"1380500003","80500003","barangka drive","City of Mandaluyong",NA
"1380500004","80500004","barangka ibaba","City of Mandaluyong",NA
"1380500005","80500005","barangka ilaya","City of Mandaluyong",NA
"1380500006","80500006","barangka itaas","City of Mandaluyong",NA
"1380500007","80500007","burol","City of Mandaluyong",NA
"1380500008","80500008","buayang bato","City of Mandaluyong",NA
"1380500009","80500009","daang bakal","City of Mandaluyong",NA
"1380500010","80500010","hagdang bato itaas","City of Mandaluyong",NA
"1380500011","80500011","hagdang bato libis","City of Mandaluyong",NA
"1380500012","80500012","harapin ang bukas","City of Mandaluyong",NA
"1380500013","80500013","highway hills","City of Mandaluyong",NA
"1380500014","80500014","hulo","City of Mandaluyong",NA
"1380500015","80500015","mabini j. rizal","City of Mandaluyong",NA
"1380500016","80500016","malamig","City of Mandaluyong",NA
"1380500017","80500017","mauway","City of Mandaluyong",NA
"1380500018","80500018","namayan","City of Mandaluyong",NA
"1380500019","80500019","new zañiga","City of Mandaluyong",NA
"1380500020","80500020","old zañiga","City of Mandaluyong",NA
"1380500021","80500021","pag asa","City of Mandaluyong",NA
"1380500022","80500022","plainview","City of Mandaluyong",NA
"1380500023","80500023","pleasant hills","City of Mandaluyong",NA
"1380500024","80500024","poblacion","City of Mandaluyong",NA
"1380500025","80500025","san jose","City of Mandaluyong",NA
"1380500026","80500026","vergara","City of Mandaluyong",NA
"1380500027","80500027","wack wack greenhills","City of Mandaluyong",NA
"1380601001","80601001","barangay 1","Tondo I/II",NA
"1380601002","80601002","barangay 2","Tondo I/II",NA
"1380601003","80601003","barangay 3","Tondo I/II",NA
"1380601004","80601004","barangay 4","Tondo I/II",NA
"1380601005","80601005","barangay 5","Tondo I/II",NA
"1380601006","80601006","barangay 6","Tondo I/II",NA
"1380601007","80601007","barangay 7","Tondo I/II",NA
"1380601008","80601008","barangay 8","Tondo I/II",NA
"1380601009","80601009","barangay 9","Tondo I/II",NA
"1380601010","80601010","barangay 10","Tondo I/II",NA
"1380601011","80601011","barangay 11","Tondo I/II",NA
"1380601012","80601012","barangay 12","Tondo I/II",NA
"1380601013","80601013","barangay 13","Tondo I/II",NA
"1380601014","80601014","barangay 14","Tondo I/II",NA
"1380601015","80601015","barangay 15","Tondo I/II",NA
"1380601016","80601016","barangay 16","Tondo I/II",NA
"1380601017","80601017","barangay 17","Tondo I/II",NA
"1380601018","80601018","barangay 18","Tondo I/II",NA
"1380601019","80601019","barangay 19","Tondo I/II",NA
"1380601020","80601020","barangay 20","Tondo I/II",NA
"1380601025","80601025","barangay 25","Tondo I/II",NA
"1380601026","80601026","barangay 26","Tondo I/II",NA
"1380601028","80601028","barangay 28","Tondo I/II",NA
"1380601029","80601029","barangay 29","Tondo I/II",NA
"1380601030","80601030","barangay 30","Tondo I/II",NA
"1380601031","80601031","barangay 31","Tondo I/II",NA
"1380601032","80601032","barangay 32","Tondo I/II",NA
"1380601033","80601033","barangay 33","Tondo I/II",NA
"1380601034","80601034","barangay 34","Tondo I/II",NA
"1380601035","80601035","barangay 35","Tondo I/II",NA
"1380601036","80601036","barangay 36","Tondo I/II",NA
"1380601037","80601037","barangay 37","Tondo I/II",NA
"1380601038","80601038","barangay 38","Tondo I/II",NA
"1380601039","80601039","barangay 39","Tondo I/II",NA
"1380601041","80601041","barangay 41","Tondo I/II",NA
"1380601042","80601042","barangay 42","Tondo I/II",NA
"1380601043","80601043","barangay 43","Tondo I/II",NA
"1380601044","80601044","barangay 44","Tondo I/II",NA
"1380601045","80601045","barangay 45","Tondo I/II",NA
"1380601046","80601046","barangay 46","Tondo I/II",NA
"1380601047","80601047","barangay 47","Tondo I/II",NA
"1380601048","80601048","barangay 48","Tondo I/II",NA
"1380601049","80601049","barangay 49","Tondo I/II",NA
"1380601050","80601050","barangay 50","Tondo I/II",NA
"1380601051","80601051","barangay 51","Tondo I/II",NA
"1380601052","80601052","barangay 52","Tondo I/II",NA
"1380601053","80601053","barangay 53","Tondo I/II",NA
"1380601054","80601054","barangay 54","Tondo I/II",NA
"1380601055","80601055","barangay 55","Tondo I/II",NA
"1380601056","80601056","barangay 56","Tondo I/II",NA
"1380601057","80601057","barangay 57","Tondo I/II",NA
"1380601058","80601058","barangay 58","Tondo I/II",NA
"1380601059","80601059","barangay 59","Tondo I/II",NA
"1380601060","80601060","barangay 60","Tondo I/II",NA
"1380601061","80601061","barangay 61","Tondo I/II",NA
"1380601062","80601062","barangay 62","Tondo I/II",NA
"1380601063","80601063","barangay 63","Tondo I/II",NA
"1380601064","80601064","barangay 64","Tondo I/II",NA
"1380601065","80601065","barangay 65","Tondo I/II",NA
"1380601066","80601066","barangay 66","Tondo I/II",NA
"1380601067","80601067","barangay 67","Tondo I/II",NA
"1380601068","80601068","barangay 68","Tondo I/II",NA
"1380601069","80601069","barangay 69","Tondo I/II",NA
"1380601070","80601070","barangay 70","Tondo I/II",NA
"1380601071","80601071","barangay 71","Tondo I/II",NA
"1380601072","80601072","barangay 72","Tondo I/II",NA
"1380601073","80601073","barangay 73","Tondo I/II",NA
"1380601074","80601074","barangay 74","Tondo I/II",NA
"1380601075","80601075","barangay 75","Tondo I/II",NA
"1380601076","80601076","barangay 76","Tondo I/II",NA
"1380601077","80601077","barangay 77","Tondo I/II",NA
"1380601078","80601078","barangay 78","Tondo I/II",NA
"1380601079","80601079","barangay 79","Tondo I/II",NA
"1380601080","80601080","barangay 80","Tondo I/II",NA
"1380601081","80601081","barangay 81","Tondo I/II",NA
"1380601082","80601082","barangay 82","Tondo I/II",NA
"1380601083","80601083","barangay 83","Tondo I/II",NA
"1380601084","80601084","barangay 84","Tondo I/II",NA
"1380601085","80601085","barangay 85","Tondo I/II",NA
"1380601086","80601086","barangay 86","Tondo I/II",NA
"1380601087","80601087","barangay 87","Tondo I/II",NA
"1380601088","80601088","barangay 88","Tondo I/II",NA
"1380601089","80601089","barangay 89","Tondo I/II",NA
"1380601090","80601090","barangay 90","Tondo I/II",NA
"1380601091","80601091","barangay 91","Tondo I/II",NA
"1380601092","80601092","barangay 92","Tondo I/II",NA
"1380601093","80601093","barangay 93","Tondo I/II",NA
"1380601094","80601094","barangay 94","Tondo I/II",NA
"1380601095","80601095","barangay 95","Tondo I/II",NA
"1380601096","80601096","barangay 96","Tondo I/II",NA
"1380601097","80601097","barangay 97","Tondo I/II",NA
"1380601098","80601098","barangay 98","Tondo I/II",NA
"1380601099","80601099","barangay 99","Tondo I/II",NA
"1380601100","80601100","barangay 100","Tondo I/II",NA
"1380601101","80601101","barangay 101","Tondo I/II",NA
"1380601102","80601102","barangay 102","Tondo I/II",NA
"1380601103","80601103","barangay 103","Tondo I/II",NA
"1380601104","80601104","barangay 104","Tondo I/II",NA
"1380601105","80601105","barangay 105","Tondo I/II",NA
"1380601106","80601106","barangay 106","Tondo I/II",NA
"1380601107","80601107","barangay 107","Tondo I/II",NA
"1380601108","80601108","barangay 108","Tondo I/II",NA
"1380601109","80601109","barangay 109","Tondo I/II",NA
"1380601110","80601110","barangay 110","Tondo I/II",NA
"1380601111","80601111","barangay 111","Tondo I/II",NA
"1380601112","80601112","barangay 112","Tondo I/II",NA
"1380601116","80601116","barangay 116","Tondo I/II",NA
"1380601117","80601117","barangay 117","Tondo I/II",NA
"1380601118","80601118","barangay 118","Tondo I/II",NA
"1380601119","80601119","barangay 119","Tondo I/II",NA
"1380601120","80601120","barangay 120","Tondo I/II",NA
"1380601121","80601121","barangay 121","Tondo I/II",NA
"1380601122","80601122","barangay 122","Tondo I/II",NA
"1380601123","80601123","barangay 123","Tondo I/II",NA
"1380601124","80601124","barangay 124","Tondo I/II",NA
"1380601125","80601125","barangay 125","Tondo I/II",NA
"1380601126","80601126","barangay 126","Tondo I/II",NA
"1380601127","80601127","barangay 127","Tondo I/II",NA
"1380601128","80601128","barangay 128","Tondo I/II",NA
"1380601129","80601129","barangay 129","Tondo I/II",NA
"1380601130","80601130","barangay 130","Tondo I/II",NA
"1380601131","80601131","barangay 131","Tondo I/II",NA
"1380601132","80601132","barangay 132","Tondo I/II",NA
"1380601133","80601133","barangay 133","Tondo I/II",NA
"1380601134","80601134","barangay 134","Tondo I/II",NA
"1380601135","80601135","barangay 135","Tondo I/II",NA
"1380601136","80601136","barangay 136","Tondo I/II",NA
"1380601137","80601137","barangay 137","Tondo I/II",NA
"1380601138","80601138","barangay 138","Tondo I/II",NA
"1380601139","80601139","barangay 139","Tondo I/II",NA
"1380601140","80601140","barangay 140","Tondo I/II",NA
"1380601141","80601141","barangay 141","Tondo I/II",NA
"1380601142","80601142","barangay 142","Tondo I/II",NA
"1380601143","80601143","barangay 143","Tondo I/II",NA
"1380601144","80601144","barangay 144","Tondo I/II",NA
"1380601145","80601145","barangay 145","Tondo I/II",NA
"1380601146","80601146","barangay 146","Tondo I/II",NA
"1380601147","80601147","barangay 147","Tondo I/II",NA
"1380601148","80601148","barangay 148","Tondo I/II",NA
"1380601149","80601149","barangay 149","Tondo I/II",NA
"1380601150","80601150","barangay 150","Tondo I/II",NA
"1380601151","80601151","barangay 151","Tondo I/II",NA
"1380601152","80601152","barangay 152","Tondo I/II",NA
"1380601153","80601153","barangay 153","Tondo I/II",NA
"1380601154","80601154","barangay 154","Tondo I/II",NA
"1380601155","80601155","barangay 155","Tondo I/II",NA
"1380601156","80601156","barangay 156","Tondo I/II",NA
"1380601157","80601157","barangay 157","Tondo I/II",NA
"1380601158","80601158","barangay 158","Tondo I/II",NA
"1380601159","80601159","barangay 159","Tondo I/II",NA
"1380601160","80601160","barangay 160","Tondo I/II",NA
"1380601161","80601161","barangay 161","Tondo I/II",NA
"1380601162","80601162","barangay 162","Tondo I/II",NA
"1380601163","80601163","barangay 163","Tondo I/II",NA
"1380601164","80601164","barangay 164","Tondo I/II",NA
"1380601165","80601165","barangay 165","Tondo I/II",NA
"1380601166","80601166","barangay 166","Tondo I/II",NA
"1380601167","80601167","barangay 167","Tondo I/II",NA
"1380601168","80601168","barangay 168","Tondo I/II",NA
"1380601169","80601169","barangay 169","Tondo I/II",NA
"1380601170","80601170","barangay 170","Tondo I/II",NA
"1380601171","80601171","barangay 171","Tondo I/II",NA
"1380601172","80601172","barangay 172","Tondo I/II",NA
"1380601173","80601173","barangay 173","Tondo I/II",NA
"1380601174","80601174","barangay 174","Tondo I/II",NA
"1380601175","80601175","barangay 175","Tondo I/II",NA
"1380601176","80601176","barangay 176","Tondo I/II",NA
"1380601177","80601177","barangay 177","Tondo I/II",NA
"1380601178","80601178","barangay 178","Tondo I/II",NA
"1380601179","80601179","barangay 179","Tondo I/II",NA
"1380601180","80601180","barangay 180","Tondo I/II",NA
"1380601181","80601181","barangay 181","Tondo I/II",NA
"1380601182","80601182","barangay 182","Tondo I/II",NA
"1380601183","80601183","barangay 183","Tondo I/II",NA
"1380601184","80601184","barangay 184","Tondo I/II",NA
"1380601185","80601185","barangay 185","Tondo I/II",NA
"1380601186","80601186","barangay 186","Tondo I/II",NA
"1380601187","80601187","barangay 187","Tondo I/II",NA
"1380601188","80601188","barangay 188","Tondo I/II",NA
"1380601189","80601189","barangay 189","Tondo I/II",NA
"1380601190","80601190","barangay 190","Tondo I/II",NA
"1380601191","80601191","barangay 191","Tondo I/II",NA
"1380601192","80601192","barangay 192","Tondo I/II",NA
"1380601193","80601193","barangay 193","Tondo I/II",NA
"1380601194","80601194","barangay 194","Tondo I/II",NA
"1380601195","80601195","barangay 195","Tondo I/II",NA
"1380601196","80601196","barangay 196","Tondo I/II",NA
"1380601197","80601197","barangay 197","Tondo I/II",NA
"1380601198","80601198","barangay 198","Tondo I/II",NA
"1380601199","80601199","barangay 199","Tondo I/II",NA
"1380601200","80601200","barangay 200","Tondo I/II",NA
"1380601201","80601201","barangay 201","Tondo I/II",NA
"1380601202","80601202","barangay 202","Tondo I/II",NA
"1380601203","80601203","barangay 202 a","Tondo I/II",NA
"1380601204","80601204","barangay 203","Tondo I/II",NA
"1380601205","80601205","barangay 204","Tondo I/II",NA
"1380601206","80601206","barangay 205","Tondo I/II",NA
"1380601207","80601207","barangay 206","Tondo I/II",NA
"1380601208","80601208","barangay 207","Tondo I/II",NA
"1380601209","80601209","barangay 208","Tondo I/II",NA
"1380601210","80601210","barangay 209","Tondo I/II",NA
"1380601211","80601211","barangay 210","Tondo I/II",NA
"1380601212","80601212","barangay 211","Tondo I/II",NA
"1380601213","80601213","barangay 212","Tondo I/II",NA
"1380601214","80601214","barangay 213","Tondo I/II",NA
"1380601215","80601215","barangay 214","Tondo I/II",NA
"1380601216","80601216","barangay 215","Tondo I/II",NA
"1380601217","80601217","barangay 216","Tondo I/II",NA
"1380601218","80601218","barangay 217","Tondo I/II",NA
"1380601219","80601219","barangay 218","Tondo I/II",NA
"1380601220","80601220","barangay 219","Tondo I/II",NA
"1380601221","80601221","barangay 220","Tondo I/II",NA
"1380601222","80601222","barangay 221","Tondo I/II",NA
"1380601223","80601223","barangay 222","Tondo I/II",NA
"1380601224","80601224","barangay 223","Tondo I/II",NA
"1380601225","80601225","barangay 224","Tondo I/II",NA
"1380601226","80601226","barangay 225","Tondo I/II",NA
"1380601227","80601227","barangay 226","Tondo I/II",NA
"1380601228","80601228","barangay 227","Tondo I/II",NA
"1380601229","80601229","barangay 228","Tondo I/II",NA
"1380601230","80601230","barangay 229","Tondo I/II",NA
"1380601231","80601231","barangay 230","Tondo I/II",NA
"1380601232","80601232","barangay 231","Tondo I/II",NA
"1380601233","80601233","barangay 232","Tondo I/II",NA
"1380601234","80601234","barangay 233","Tondo I/II",NA
"1380601235","80601235","barangay 234","Tondo I/II",NA
"1380601236","80601236","barangay 235","Tondo I/II",NA
"1380601237","80601237","barangay 236","Tondo I/II",NA
"1380601238","80601238","barangay 237","Tondo I/II",NA
"1380601239","80601239","barangay 238","Tondo I/II",NA
"1380601240","80601240","barangay 239","Tondo I/II",NA
