ID,year,country,assignment
RADDL4B-24-156,2024,philippines,
RADDL4B-24-157,2024,philippines,
RADDL4B-24-173,2024,philippines,
RADDL4B-24-174,2024,philippines,
RADDL4B-24-178,2024,philippines,
RADDL4B-24-180,2024,philippines,
RADDL4B-24-181,2024,philippines,
RADDL4B-24-183,2024,philippines,
RADDL4B-24-185,2024,philippines,
RADDL4B-24-186,2024,philippines,
RADDL4B-24-187,2024,philippines,
RADDL4B-24-188,2024,philippines,
RADDL4B-25-005,2024,philippines,
RADDL4B-25-006,2024,philippines,
RADDL4B-25-008,2025,philippines,
RADDL4B-25-009,2025,philippines,
RADDL4B-25-017,2025,philippines,
RADDL4B-24-151,2024,philippines,
RADDL4B-23-089,2023,philippines,
RADDL4B-23-092,2023,philippines,
RADDL4B-23-094,2023,philippines,
RADDL4B-24-007,2024,philippines,
RADDL4B-24-013,2024,philippines,
RADDL4B-24-030,2024,philippines,
RADDL4B-24-048,2024,philippines,
RADDL4B-24-052,2024,philippines,
RADDL4B-24-062,2024,philippines,
RADDL4B-24-080,2024,philippines,
RADDL4B-24-093,2024,philippines,
RADDL4B-24-107,2024,philippines,
RADDL4B-24-125,2024,philippines,
RADDL4B-24-127,2024,philippines,
H24-028,2024,philippines,
RADDL4B-23-065,2023,philippines,
RADDL4B-24-162,2024,philippines,
RADDL4B-24-184,2024,philippines,
RADDL4B-25-022,2025,philippines,
RADDL4B-25-032,2025,philippines,
RADDL4B-25-039,2025,philippines,
KX148263,1994,philippines,
KX148262,1994,philippines,
KX148261,1994,philippines,
KX148260,2004,philippines,
KX148259,1994,philippines,
OQ326754,2018,philippines,
OQ326753,2018,philippines,
OQ326752,2018,philippines,
OQ326751,2018,philippines,
OQ326750,2018,philippines,
OQ326749,2018,philippines,
OQ326748,2018,philippines,
OQ326747,2018,philippines,
OQ326746,2018,philippines,
OQ326745,2018,philippines,
OQ326744,2018,philippines,
OQ326743,2018,philippines,
OQ326742,2018,philippines,
OQ326741,2019,philippines,
OQ326740,2019,philippines,
OQ326739,2019,philippines,
OQ326738,2018,philippines,
OQ326737,2018,philippines,
OQ326736,2018,philippines,
OR971444,2022,philippines,
OR971443,2022,philippines,
OR971442,2022,philippines,
OR971441,2022,philippines,
OR971440,2022,philippines,
OR971439,2022,philippines,
OR971438,2021,philippines,
OR971437,2021,philippines,
OR971436,2021,philippines,
OR971435,2021,philippines,
OR971434,2021,philippines,
OR971433,2021,philippines,
OR971432,2021,philippines,
OR971431,2021,philippines,
OR971430,2021,philippines,
OR971429,2021,philippines,
OR971428,2021,philippines,
OR971427,2021,philippines,
OR971426,2021,philippines,
OR971425,2021,philippines,
OR971424,2021,philippines,
OR971423,2021,philippines,
OR971422,2021,philippines,
OR971421,2021,philippines,
OR971420,2021,philippines,
OR971419,2021,philippines,
OR971418,2021,philippines,
OR971417,2021,philippines,
OR971416,2021,philippines,
OR971415,2021,philippines,
OR971414,2021,philippines,
OR971413,2021,philippines,
OR971412,2021,philippines,
OR971411,2019,philippines,
OR971409,2019,philippines,
OR971408,2019,philippines,
OR971407,2021,philippines,
OR971406,2021,philippines,
OR971405,2021,philippines,
OR971404,2021,philippines,
OR971403,2021,philippines,
OR971402,2021,philippines,
OR971401,2021,philippines,
OR971400,2021,philippines,
OR971399,2019,philippines,
OR971398,2019,philippines,
OR971397,2019,philippines,
OR971396,2019,philippines,
OR971395,2019,philippines,
OQ326784,2018,philippines,
OQ326783,2018,philippines,
OQ326782,2018,philippines,
OQ326781,2018,philippines,
OQ326780,2018,philippines,
OQ326779,2018,philippines,
OQ326778,2018,philippines,
OQ326777,2018,philippines,
OQ326776,2018,philippines,
OQ326775,2018,philippines,
OQ326774,2018,philippines,
OQ326773,2018,philippines,
OQ326772,2018,philippines,
OQ326771,2018,philippines,
OQ326770,2019,philippines,
OQ326769,2018,philippines,
OQ326768,2018,philippines,
OQ326767,2018,philippines,
OQ326766,2018,philippines,
OQ326765,2019,philippines,
OQ326764,2018,philippines,
OQ326763,2019,philippines,
OQ326762,2018,philippines,
OQ326761,2018,philippines,
OQ326760,2018,philippines,
OQ326759,2018,philippines,
OQ326758,2018,philippines,
OQ326757,2018,philippines,
OQ326756,2018,philippines,
OQ326755,2018,philippines,
OR971544,2021,philippines,
OR971543,2021,philippines,
OR971542,2021,philippines,
OR971541,2021,philippines,
OR971540,2021,philippines,
OR971539,2019,philippines,
OR971538,2019,philippines,
OR971537,2019,philippines,
OR971536,2019,philippines,
OR971535,2019,philippines,
OR971534,2019,philippines,
OR971533,2021,philippines,
OR971532,2021,philippines,
OR971531,2021,philippines,
