Sample_ID,Case_no,Accession,Host,Sample_type,Preferred_date,Date_source,Barangay,Municipality,Province,Region,Latitude,Longitude,Source,Author,Pubmed,Genome_coverage
18-099,NA,OQ326750,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-138,NA,OQ326748,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-163,NA,OQ326747,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-188,NA,OQ326746,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-214,NA,OQ326745,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-174,NA,OQ326743,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-216,NA,OQ326742,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
19-011,NA,OQ326741,Canis lupus familiaris,brain,1-Jan-19,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
19-004,NA,OQ326740,Canis lupus familiaris,brain,1-Jan-19,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
19-015,NA,OQ326739,Canis lupus familiaris,brain,1-Jan-19,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-172,NA,OQ326737,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-199,NA,OQ326736,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-181,NA,OQ326783,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-221,NA,OQ326782,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-209,NA,OQ326781,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-194,NA,OQ326780,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-196,NA,OQ326779,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-223,NA,OQ326778,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-183,NA,OQ326777,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-144,NA,OQ326776,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-151,NA,OQ326774,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-153,NA,OQ326773,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-147,NA,OQ326772,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-225,NA,OQ326771,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
19-022,NA,OQ326770,Canis lupus familiaris,brain,1-Jan-19,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-224,NA,OQ326769,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-191,NA,OQ326768,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-135,NA,OQ326767,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-121,NA,OQ326766,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-096,NA,OQ326764,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
19-045,NA,OQ326763,Canis lupus familiaris,brain,1-Jan-19,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-120,NA,OQ326762,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-094,NA,OQ326761,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
18-130,NA,OQ326759,Canis lupus familiaris,brain,1-Jan-18,NA,NA,Davao,Davao del Sur,Region XI (Davao Region),NA,NA,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311
