#node	date	numeric date
OQ326782	2018-01-01	2018.000000
NODE_0000127	2017-07-04	2017.506079
OQ326781	2018-01-01	2018.000000
OQ326743	2018-01-01	2018.000000
NODE_0000419	2016-04-01	2016.251048
OQ326739	2019-01-01	2019.000000
OQ326741	2019-01-01	2019.000000
NODE_0000421	2019-01-07	2019.018827
OR971627	2021-06-10	2021.438360
NODE_0000422	2021-07-29	2021.574199
OR971636	2022-03-25	2022.227400
OR971630	2022-01-18	2022.046580
NODE_0000423	2013-05-03	2013.336896
OQ326744	2018-01-01	2018.000000
NODE_0000424	2015-02-04	2015.094666
OQ326760	2018-01-01	2018.000000
NODE_0000425	2015-07-23	2015.556334
OQ326751	2018-01-01	2018.000000
NODE_0000160	2016-10-17	2016.792602
NODE_0000433	2017-01-14	2017.035808
OQ326737	2018-01-01	2018.000000
OQ326783	2018-01-01	2018.000000
NODE_0000182	2017-01-09	2017.024558
OQ326777	2018-01-01	2018.000000
NODE_0000145	2017-10-04	2017.756250
OQ326761	2018-01-01	2018.000000
NODE_0000159	2017-12-22	2017.973251
NODE_0000427	2019-01-14	2019.038156
OR971640	2022-05-05	2022.339730
NODE_0000428	2020-12-21	2020.971066
OR971631	2022-02-03	2022.093150
R11-22-002	2022-01-05	2022.010960
NODE_0000164	2017-12-26	2017.986277
OQ326755	2018-01-01	2018.000000
NODE_0000175	2018-01-01	2018.000000
OQ326747	2018-01-01	2018.000000
OQ326750	2018-01-01	2018.000000
NODE_0000434	1989-02-03	1989.091472
NODE_0000435	1991-08-30	1991.660474
NODE_0000436	1994-09-05	1994.677247
R9-089	2021-10-06	2021.764380
NODE_0000437	2002-08-22	2002.638656
NODE_0000438	2019-09-22	2019.724429
OR971599	2021-09-11	2021.695890
R9-105	2021-12-09	2021.936990
NODE_0000439	2014-08-30	2014.661974
NODE_0000440	2018-05-01	2018.330283
OR971608	2019-11-24	2019.898630
OR971610	2019-12-04	2019.923290
NODE_0000441	2015-12-28	2015.989798
OR971607	2019-11-10	2019.860270
NODE_0000442	2018-03-25	2018.228880
OR971613	2019-12-15	2019.956160
NODE_0000443	2018-09-02	2018.670239
OR971600	2019-09-11	2019.695890
OR971622	2021-06-07	2021.430140
OR971602	2019-10-13	2019.783560
NODE_0000445	1992-06-09	1992.439494
NODE_0000446	2020-04-02	2020.253913
OR971588	2021-04-07	2021.265750
OR971587	2021-03-30	2021.241100
NODE_0000447	2011-05-04	2011.339196
NODE_0000448	2020-10-04	2020.758713
OR971672	2021-09-15	2021.704110
OR971674	2021-10-17	2021.794520
NODE_0000449	2017-06-21	2017.471040
NODE_0000450	2021-03-17	2021.207339
OR971671	2021-08-25	2021.646580
OR971667	2021-10-02	2021.753420
NODE_0000452	2017-09-30	2017.745727
OR971673	2021-06-10	2021.438360
NODE_0000453	2019-11-08	2019.852637
OR971670	2021-05-07	2021.345210
OR971656	2021-02-01	2021.087670
NODE_0000454	2018-08-09	2018.603643
NODE_0000455	2021-05-30	2021.408220
OR971669	2021-06-29	2021.493150
OR971668	2021-05-30	2021.408220
NODE_0000456	2018-10-06	2018.763597
OR971624	2021-05-17	2021.375340
NODE_0000457	2019-06-29	2019.491907
R10-989	2021-11-24	2021.898630
NODE_0000203	2019-12-25	2019.982052
OR971620	2021-07-01	2021.498630
OR971623	2021-05-20	2021.383560
NODE_0000459	1995-08-05	1995.592839
NODE_0000460	2006-11-05	2006.845929
OR971644	2019-06-23	2019.476710
NODE_0000461	2007-02-22	2007.144604
OR971659	2021-02-18	2021.131510
