Isolate ID ,year,brgy,municipality,province,region,latitude,longitude,species,Maddog_reference,lineage1,lineage2,lineage3,lineage4,date
4B-22-21,2022,Panggulayan,Pinamalayan,Oriental Mindoro,Southwestern Tagalog Region ,13.02301767,121.4031803,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_C1,31-May-22
4B-22-28,2022,Mangangan,Baco,Oriental Mindoro,Southwestern Tagalog Region ,13.29039427,121.066837,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,27-Jul-22
4B-22-30,2022,Bangkatan,Baco,Oriental Mindoro,Southwestern Tagalog Region ,13.29039427,121.066837,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,12-Aug-22
4B-22-31,2022,Bayanan,Pola,Oriental Mindoro,Southwestern Tagalog Region ,13.13990357,121.4449478,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_C1,18-Aug-22
4B-22-35,2022,Bagumbayan,Roxas,Oriental Mindoro,Southwestern Tagalog Region ,12.61737051,121.4554967,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_C1,25-Oct-22
4B-22-37,2022,San Isidro,Alcantara,Romblon,Southwestern Tagalog Region ,12.29784708,122.054934,Canis familiaris,N,Asian SEA4_E1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,1-Oct-22
4B-22-39,2022,San Isidro,Alcantara,Romblon,Southwestern Tagalog Region ,12.29784708,122.054934,Canis familiaris,N,Asian SEA4_E1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,21-Oct-22
4B-22-40,2022,Balugo,Mansalay,Oriental Mindoro,Southwestern Tagalog Region ,12.54836969,121.3482134,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_C1,2-Dec-22
4B-22-41,2022,Dapawan,Odiongan,Romblon,Southwestern Tagalog Region ,12.39865996,122.0177701,Canis familiaris,N,Asian SEA4_E1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,24-Nov-22
4B-22-42,2022,Bonlao,Alcantara,Romblon,Southwestern Tagalog Region ,12.29784708,122.054934,Canis familiaris,N,Asian SEA4_E1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,26-Nov-22
4B-22-44,2022,Dapawan,Odiongan,Romblon,Southwestern Tagalog Region ,12.39865996,122.0177701,Canis familiaris,N,Asian SEA4_E1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,11-Dec-22
4B-22-45,2022,Concepcion Sur,Santa Maria,Romblon,Southwestern Tagalog Region ,12.40310216,122.0836566,Canis familiaris,N,Asian SEA4_E1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,12-Dec-22
4B-23-01,2023,Concepcion Norte,Santa Maria,Romblon,Southwestern Tagalog Region ,12.40310216,122.0836566,Canis familiaris,N,Asian SEA4_E1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,20-Jan-23
4B-23-02,2023,Dapawan,Odiongan,Romblon,Southwestern Tagalog Region ,12.39865996,122.0177701,Canis familiaris,N,Asian SEA4_E1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,13-Jan-23
4B-23-03,2023,Sugod,San Agustin,Romblon,Southwestern Tagalog Region ,12.55403552,122.1124048,Canis familiaris,N,Asian SEA4_A1.1,Asian SEA4_A1.1,Asian SEA4_A1.1,Asian SEA4_A1.1.2,22-Jan-23
4B-23-04,2023,Carmen,San Agustin,Romblon,Southwestern Tagalog Region ,12.55403552,122.1124048,Canis familiaris,N,Asian SEA4_A1.1,Asian SEA4_A1.1,Asian SEA4_A1.1,Asian SEA4_A1.1.2,31-Jan-23
4B-23-05,2023,Sugod,San Agustin,Romblon,Southwestern Tagalog Region ,12.55403552,122.1124048,Canis familiaris,N,Asian SEA4_E1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,20-Jan-23
4B-23-06,2023,Concepcion Norte,Santa Maria,Romblon,Southwestern Tagalog Region ,12.40310216,122.0836566,Canis familiaris,N,Asian SEA4_E1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,2-Feb-23
4B-23-07,2023,Concepcion Sur,Santa Maria,Romblon,Southwestern Tagalog Region ,12.40310216,122.0836566,Canis familiaris,N,Asian SEA4_E1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,7-Feb-23
4B-23-11,2023,Jun Carlo,San Andres,Romblon,Southwestern Tagalog Region ,12.53642104,122.0469478,Canis familiaris,N,Asian SEA4_E1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,7-Feb-23
4B-23-12,2023,Concepcion Norte,Santa Maria,Romblon,Southwestern Tagalog Region ,12.40310216,122.0836566,Canis familiaris,N,Asian SEA4_E1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,14-Feb-23
4B-23-13,2023,Rizal,Odiongan,Romblon,Southwestern Tagalog Region ,12.39865996,122.0177701,Canis familiaris,N,Asian SEA4_E1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,9-Feb-23
4B-23-15,2023,Poctoy,Odiongan,Romblon,Southwestern Tagalog Region ,12.39865996,122.0177701,Canis familiaris,N,Asian SEA4_E1.1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,16-Feb-23
4B-23-16,2023,Dapawan,Odiongan,Romblon,Southwestern Tagalog Region ,12.39865996,122.0177701,Canis familiaris,N,Asian SEA4_E1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,28-Feb-23
4B-23-17,2023,Poctoy,Odiongan,Romblon,Southwestern Tagalog Region ,12.39865996,122.0177701,Canis familiaris,N,Asian SEA4_E1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,1-Mar-23
4B-23-19,2023,Mahabang Baybay,San Agustin,Romblon,Southwestern Tagalog Region ,12.55403552,122.1124048,Canis familiaris,N,Asian SEA4_E1,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,1-Mar-23
4B-2422,2022,Concepcion,Calintaan,Occidental Mindoro,Southwestern Tagalog Region ,12.59217706,121.082659,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,4-Feb-22
4B-2922HM,2022,Mangangan,Baco,Oriental Mindoro,Southwestern Tagalog Region ,13.29039427,121.066837,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,9-Feb-22
4B-2922JG,2022,Anilao,Bongabong,Oriental Mindoro,Southwestern Tagalog Region ,12.71623574,121.3862303,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_C1,9-Feb-22
H-23-011Sk12,2023,Concepcion Sur,Santa Maria,Romblon,Southwestern Tagalog Region ,12.40310216,122.0836566,Homo sapiens,N,Asian SEA4_A1.1.2,Asian SEA4_B1,Asian SEA4_B1,Asian SEA4_B1,2-Feb-23
